date,bauxite sell
2020-08-25,46046
2020-08-26,79555
2020-08-27,90093
2020-08-28,69983
2020-08-29,70682
2020-08-30,86453
2020-08-31,66036
2020-09-01,99986
2020-09-02,80880
2020-09-03,105744
2020-09-04,56205
2020-09-05,101074
2020-09-06,112899
2020-09-07,79428
2020-09-08,70658
2020-09-09,108550
2020-09-10,70922
2020-09-11,61560
2020-09-12,112102
2020-09-13,83893
2020-09-14,54471
2020-09-15,65855
2020-09-16,179113
2020-09-17,129480
2020-09-18,58943
2020-09-19,48134
2020-09-20,117454
2020-09-21,94467
2020-09-22,106165
2020-09-23,80512
2020-09-24,60871
2020-09-25,57002
2020-09-26,113749
2020-09-27,89682
2020-09-28,56452
2020-09-29,75505
2020-09-30,85842
2020-10-01,103979
2020-10-02,92429
2020-10-03,97317
2020-10-04,108646
2020-10-05,62735
2020-10-06,99341
2020-10-07,89045
2020-10-08,117433
2020-10-09,86918
2020-10-10,85803
2020-10-11,87617
2020-10-12,143805
2020-10-13,159100
2020-10-14,145469
2020-10-15,73226
2020-10-16,83114
2020-10-17,118432
2020-10-18,134094
2020-10-19,72275
2020-10-20,121104
2020-10-21,102577
2020-10-22,128955
2020-10-23,57640
2020-10-24,213154
2020-10-25,142362
2020-10-26,159161
2020-10-27,143875
2020-10-28,136339
2020-10-29,123249
2020-10-30,88203
2020-10-31,43702
2020-11-01,78889
2020-11-02,34528
2020-11-03,51743
2020-11-04,65509
2020-11-05,36814
2020-11-06,52253
2020-11-07,53263
2020-11-08,108297
2020-11-09,49672
2020-11-10,64243
2020-11-11,58619
2020-11-12,59353
2020-11-13,38913
2020-11-14,52885
2020-11-15,46565
2020-11-16,74891
2020-11-17,70194
2020-11-18,67475
2020-11-19,86791
2020-11-20,66988
2020-11-21,28491
2020-11-22,60478
2020-11-23,94971
2020-11-24,64823
2020-11-25,41795
2020-11-26,67933
2020-11-27,50453
2020-11-28,122813
2020-11-29,85303
2020-11-30,52235
2020-12-01,50958
2020-12-02,80878
2020-12-03,64966
2020-12-04,50172
2020-12-05,95761
2020-12-06,182004
2020-12-07,68675
2020-12-08,32719
2020-12-09,68512
2020-12-10,115850
2020-12-11,42530
2020-12-12,78037
2020-12-13,56339
2020-12-14,70945
2020-12-15,73371
2020-12-16,134692
2020-12-17,231825
2020-12-18,121973
2020-12-19,191985
2020-12-20,68588
2020-12-21,76984
2020-12-22,84357
2020-12-23,63603
2020-12-24,46125
2020-12-25,104383
2020-12-26,86966
2020-12-27,68855
2020-12-28,86179
2020-12-29,70532
2020-12-30,80698
2020-12-31,40179
2021-01-01,149904
2021-01-02,104216
2021-01-03,160342
2021-01-04,64697
2021-01-05,114854
2021-01-06,127285
2021-01-07,98413
2021-01-08,65092
2021-01-09,112074
2021-01-10,79462
2021-01-11,113515
2021-01-12,97387
2021-01-13,82189
2021-01-14,134374
2021-01-15,143833
2021-01-16,86236
2021-01-17,134630
2021-01-18,101890
2021-01-19,91386
2021-01-20,80565
2021-01-21,75967
2021-01-22,96308
2021-01-23,138065
2021-01-24,108171
2021-01-25,143572
2021-01-26,80710
2021-01-27,109082
2021-01-28,95802
2021-01-29,96931
2021-01-30,101736
2021-01-31,128953
2021-02-01,158680
2021-02-02,137602
2021-02-03,93378
2021-02-04,121927
2021-02-05,47181
2021-02-06,130454
2021-02-07,69685
2021-02-08,101809
2021-02-09,98445
2021-02-10,67321
2021-02-11,85854
2021-02-12,84097
2021-02-13,73153
2021-02-14,85110
2021-02-15,70931
2021-02-16,75535
2021-02-17,130604
2021-02-18,76020
2021-02-19,120249
2021-02-20,65154
2021-02-21,113953
2021-02-22,97456
2021-02-23,155815
2021-02-24,100756
2021-02-25,85552
2021-02-26,102070
2021-02-27,76992
2021-02-28,67511
2021-03-01,128839
2021-03-02,78715
2021-03-03,67929
2021-03-04,118608
2021-03-05,98546
2021-03-06,62848
2021-03-07,89084
2021-03-08,104091
2021-03-09,113250
2021-03-10,80710
2021-03-11,98474
2021-03-12,109745
2021-03-13,124138
2021-03-14,125902
2021-03-15,127300
2021-03-16,94456
2021-03-17,150255
2021-03-18,135353
2021-03-19,85739
2021-03-20,66176
2021-03-21,73448
2021-03-22,118125
2021-03-23,88539
2021-03-24,85092
2021-03-25,107485
2021-03-26,120235
2021-03-27,72769
2021-03-28,100436
2021-03-29,139146
2021-03-30,100449
2021-03-31,88535
2021-04-01,102396
2021-04-02,260523
2021-04-03,81183
2021-04-04,160616
2021-04-05,178277
2021-04-06,123819
2021-04-07,189999
2021-04-08,158606
2021-04-09,133068
2021-04-10,120124
2021-04-11,113493
2021-04-12,91839
2021-04-13,96010
2021-04-14,93672
2021-04-15,101050
2021-04-16,69800
2021-04-17,156879
2021-04-18,83667
2021-04-19,142248
2021-04-20,666589
2021-04-21,127477
2021-04-22,174499
2021-04-23,63587
2021-04-24,63231
2021-04-25,120941
2021-04-26,113038
2021-04-27,90582
2021-04-28,100654
2021-04-29,91249
2021-04-30,109093
2021-05-01,126047
2021-05-02,185854
2021-05-03,78865
2021-05-04,83855
2021-05-05,68429
2021-05-06,65749
2021-05-07,70486
2021-05-08,90558
2021-05-09,84758
2021-05-10,71424
2021-05-11,65244
2021-05-12,114165
2021-05-13,100442
2021-05-14,101464
2021-05-15,83820
2021-05-16,90724
2021-05-17,131305
2021-05-18,93603
2021-05-19,69512
2021-05-20,148200
2021-05-21,125838
2021-05-22,149264
2021-05-23,107417
2021-05-24,88182
2021-05-25,78547
2021-05-26,111403
2021-05-27,67846
2021-05-28,104803
2021-05-29,124888
2021-05-30,116964
2021-05-31,80352
2021-06-01,71662
2021-06-02,100561
2021-06-03,109766
2021-06-04,91042
2021-06-05,129341
2021-06-06,113404
2021-06-07,66709
2021-06-08,105553
2021-06-09,73429
2021-06-10,77727
2021-06-11,167060
2021-06-12,94924
2021-06-13,110023
2021-06-14,116967
2021-06-15,123965
2021-06-16,188477
2021-06-17,99020
2021-06-18,338763
2021-06-19,158902
2021-06-20,164494
2021-06-21,194107
2021-06-22,96774
2021-06-23,170717
2021-06-24,126581
2021-06-25,157723
2021-06-26,129671
2021-06-27,118929
2021-06-28,146328
2021-06-29,200326
2021-06-30,83429
2021-07-01,166791
2021-07-02,108106
2021-07-03,112731
2021-07-04,145787
2021-07-05,154458
2021-07-06,213928
2021-07-07,158281
2021-07-08,164952
2021-07-09,131247
2021-07-10,78958
2021-07-11,101427
2021-07-12,198115
2021-07-13,109113
2021-07-14,118826
2021-07-15,133237
2021-07-16,190890
2021-07-17,82417
2021-07-18,157902
2021-07-19,137893
2021-07-20,102510
2021-07-21,140808
2021-07-22,163519
2021-07-23,116162
2021-07-24,145686
2021-07-25,182451
2021-07-26,158803
2021-07-27,111888
2021-07-28,121529
2021-07-29,190228
2021-07-30,137015
2021-07-31,122885
2021-08-01,225573
2021-08-02,202580
2021-08-03,128602
2021-08-04,137871
2021-08-05,119751
2021-08-06,79050
2021-08-07,142146
2021-08-08,99264
2021-08-09,121675
2021-08-10,127750
2021-08-11,226138
2021-08-12,94941
2021-08-13,105695
2021-08-14,129408
2021-08-15,200260
2021-08-16,191308
2021-08-17,135087
2021-08-18,138078
2021-08-19,76320
2021-08-20,81348
2021-08-21,128072
2021-08-22,152324
2021-08-23,127084
2021-08-24,78533
2021-08-25,94058
2021-08-26,76142
2021-08-27,97828
2021-08-28,133492
2021-08-29,113148
2021-08-30,136982
2021-08-31,122455
2021-09-01,92641
2021-09-02,105573
2021-09-03,104968
2021-09-04,106923
2021-09-05,137075
2021-09-06,149044
2021-09-07,111500
2021-09-08,105711
2021-09-09,96841
2021-09-10,90969
2021-09-11,61876
2021-09-12,119548
2021-09-13,124165
2021-09-14,139447
2021-09-15,89603
2021-09-16,106193
2021-09-17,126818
2021-09-18,103119
2021-09-19,133195
2021-09-20,157105
2021-09-21,135750
2021-09-22,118106
2021-09-23,126893
2021-09-24,148004
2021-09-25,157119
2021-09-26,138376
2021-09-27,113227
2021-09-28,138169
2021-09-29,98834
2021-09-30,221221
2021-10-01,114768
2021-10-02,160911
2021-10-03,185568
2021-10-04,77793
2021-10-05,95401
2021-10-06,76988
2021-10-07,109451
2021-10-08,122978
2021-10-09,101758
2021-10-10,123056
2021-10-11,136673
2021-10-12,89869
2021-10-13,141940
2021-10-14,210921
2021-10-15,167955
2021-10-16,124046
2021-10-17,153589
2021-10-18,156465
2021-10-19,124278
2021-10-20,170257
2021-10-21,149706
2021-10-22,168807
2021-10-23,85287
2021-10-24,162439
2021-10-25,158761
2021-10-26,126815
2021-10-27,99991
2021-10-28,121579
2021-10-29,127473
2021-10-30,119146
2021-10-31,148892
2021-11-01,147171
2021-11-02,129751
2021-11-03,133820
2021-11-04,196015
2021-11-05,103193
2021-11-06,89815
2021-11-07,159481
2021-11-08,180976
2021-11-09,131750
2021-11-10,139478
2021-11-11,143297
2021-11-12,132548
2021-11-13,81705
2021-11-14,232948
2021-11-15,148781
2021-11-16,142258
2021-11-17,125939
2021-11-18,171976
2021-11-19,144188
2021-11-20,102827
2021-11-21,139474
2021-11-22,137147
2021-11-23,127275
2021-11-24,141217
2021-11-25,121347
2021-11-26,155011
2021-11-27,168645
2021-11-28,110333
2021-11-29,120509
2021-11-30,247440
2021-12-01,135649
2021-12-02,170255
2021-12-03,91861
2021-12-04,201465
2021-12-05,103212
2021-12-06,173601
2021-12-07,126527
2021-12-08,152294
2021-12-09,140534
2021-12-10,158860
2021-12-11,122179
2021-12-12,87546
2021-12-13,80649
2021-12-14,83056
2021-12-15,60517
2021-12-16,195294
2021-12-17,66074
2021-12-18,105464
2021-12-19,114383
2021-12-20,72746
2021-12-21,103851
2021-12-22,89534
2021-12-23,212783
2021-12-24,125338
2021-12-25,126115
2021-12-26,80919
2021-12-27,111919
2021-12-28,65229
2021-12-29,121376
2021-12-30,88109
2021-12-31,84183
2022-01-01,93072
2022-01-02,185401
2022-01-03,150522
2022-01-04,125466
2022-01-05,193428
2022-01-06,128937
2022-01-07,102751
2022-01-08,162020
2022-01-09,243285
2022-01-10,103245
2022-01-11,77136
2022-01-12,79898
2022-01-13,73768
2022-01-14,73931
2022-01-15,141755
2022-01-16,160880
2022-01-17,125953
2022-01-18,147399
2022-01-19,86294
2022-01-20,97527
2022-01-21,94775
2022-01-22,164049
2022-01-23,139175
2022-01-24,66501
2022-01-25,104333
2022-01-26,72240
2022-01-27,49593
2022-01-28,89450
2022-01-29,96866
2022-01-30,127473
2022-01-31,65585
2022-02-01,188246
2022-02-02,69642
2022-02-03,80791
2022-02-04,108024
2022-02-05,64683
2022-02-06,96302
2022-02-07,66202
2022-02-08,122371
2022-02-09,144824
2022-02-10,206489
2022-02-11,132890
2022-02-12,128321
2022-02-13,131182
2022-02-14,73907
2022-02-15,130193
2022-02-16,148598
2022-02-17,227379
2022-02-18,155757
2022-02-19,217284
2022-02-20,72651
2022-02-21,164284
2022-02-22,111425
2022-02-23,219441
2022-02-24,135076
2022-02-25,79054
2022-02-26,149354
2022-02-27,130893
2022-02-28,145738
2022-03-01,108450
2022-03-02,124208
2022-03-03,208054
2022-03-04,122917
2022-03-05,195495
2022-03-06,87363
2022-03-07,83543
2022-03-08,148758
2022-03-09,298850
2022-03-10,132351
2022-03-11,128927
2022-03-12,228756
2022-03-13,159689
2022-03-14,130167
2022-03-15,101851
2022-03-16,163290
2022-03-17,111776
2022-03-18,144374
2022-03-19,174545
2022-03-20,210908
2022-03-21,96696
2022-03-22,84077
2022-03-23,169146
2022-03-24,174710
2022-03-25,132254
2022-03-26,136799
2022-03-27,169165
2022-03-28,145687
2022-03-29,217884
2022-03-30,167613
2022-03-31,105210
2022-04-01,123297
2022-04-02,108295
2022-04-03,225926
2022-04-04,173456
2022-04-05,116870
2022-04-06,251536
2022-04-07,200588
2022-04-08,139264
2022-04-09,98657
2022-04-10,156657
2022-04-11,108387
2022-04-12,199777
2022-04-13,91209
2022-04-14,117078
2022-04-15,166299
2022-04-16,336821
2022-04-17,160261
2022-04-18,161914
2022-04-19,275177
2022-04-20,162416
2022-04-21,266483
2022-04-22,217694
2022-04-23,236505
2022-04-24,136815
2022-04-25,137953
2022-04-26,248529
2022-04-27,132434
2022-04-28,186653
2022-04-29,156950
2022-04-30,184397
2022-05-01,199766
2022-05-02,173527
2022-05-03,137796
2022-05-04,121560
2022-05-05,364319
2022-05-06,105363
2022-05-07,167111
2022-05-08,140135
2022-05-09,160694
2022-05-10,257386
2022-05-11,238780
2022-05-12,183419
2022-05-13,255960
2022-05-14,171069
2022-05-15,265272
2022-05-16,153443
2022-05-17,319834
2022-05-18,209700
2022-05-19,156311
2022-05-20,153938
2022-05-21,126062
2022-05-22,147457
2022-05-23,121390
2022-05-24,163277
2022-05-25,248295
2022-05-26,106638
2022-05-27,147751
2022-05-28,172021
2022-05-29,217085
2022-05-30,211270
2022-05-31,182185
2022-06-01,188062
2022-06-02,170813
2022-06-03,127497
2022-06-04,151858
2022-06-05,383571
2022-06-06,138750
2022-06-07,159758
2022-06-08,127446
2022-06-09,187770
2022-06-10,237799
2022-06-11,134067
2022-06-12,301968
2022-06-13,226158
2022-06-14,239729
2022-06-15,146023
2022-06-16,228430
2022-06-17,229645
2022-06-18,124900
2022-06-19,181683
2022-06-20,116397
2022-06-21,143513
2022-06-22,178638
2022-06-23,195433
2022-06-24,167752
2022-06-25,145514
2022-06-26,209013
2022-06-27,117316
2022-06-28,245098
2022-06-29,206049
2022-06-30,148414
2022-07-01,174503
2022-07-02,117758
2022-07-03,141902
2022-07-04,162348
2022-07-05,207491
2022-07-06,98079
2022-07-07,94218
2022-07-08,99970
2022-07-09,91747
2022-07-10,104403
2022-07-11,200550
2022-07-12,151387
2022-07-13,160203
2022-07-14,182995
2022-07-15,94630
2022-07-16,130541
2022-07-17,211517
2022-07-18,199849
2022-07-19,340052
2022-07-20,173831
2022-07-21,84641
2022-07-22,139121
2022-07-23,176098
2022-07-24,130738
2022-07-25,284869
2022-07-26,286580
2022-07-27,202438
2022-07-28,132178
2022-07-29,234615
2022-07-30,279501
2022-07-31,140440
2022-08-01,376472
2022-08-02,166055
2022-08-03,321208
2022-08-04,256956
2022-08-05,318805
2022-08-06,288013
2022-08-07,323050
2022-08-08,252632
2022-08-09,147156
2022-08-10,188135
2022-08-11,195817
2022-08-12,240515
2022-08-13,149610
2022-08-14,236709
2022-08-15,186541
2022-08-16,223172
2022-08-17,326087
2022-08-18,239298
2022-08-19,277510
2022-08-20,163617
2022-08-21,288078
2022-08-22,288925
2022-08-23,260431
2022-08-24,198540
2022-08-25,297524
2022-08-26,304401
2022-08-27,254329
2022-08-28,264795
2022-08-29,254882
2022-08-30,180958
2022-08-31,182787
2022-09-01,195348
2022-09-02,329854
2022-09-03,247694
2022-09-04,200159
2022-09-05,205344
2022-09-06,223073
2022-09-07,308541
2022-09-08,299096
2022-09-09,254524
2022-09-10,233749
2022-09-11,220126
2022-09-12,249669
2022-09-13,202726
2022-09-14,229964
2022-09-15,164531
2022-09-16,187319
2022-09-17,170789
2022-09-18,214781
2022-09-19,214658
2022-09-20,237742
2022-09-21,250857
2022-09-22,248879
2022-09-23,274992
2022-09-24,284801
2022-09-25,235596
2022-09-26,273520
2022-09-27,231771
2022-09-28,154502
2022-09-29,214825
2022-09-30,295508
2022-10-01,382254
2022-10-02,211234
2022-10-03,147650
2022-10-04,215679
2022-10-05,252310
2022-10-06,263861
2022-10-07,250010
2022-10-08,272543
2022-10-09,247887
2022-10-10,199725
2022-10-11,257250
2022-10-12,255280
2022-10-13,326403
2022-10-14,262389
2022-10-15,166393
2022-10-16,311764
2022-10-17,205176
2022-10-18,304636
2022-10-19,301852
2022-10-20,285247
2022-10-21,286677
2022-10-22,268839
2022-10-23,348963
2022-10-24,320945
2022-10-25,324823
2022-10-26,125173
2022-10-27,257897
2022-10-28,219037
2022-10-29,290484
2022-10-30,180132
2022-10-31,268768
2022-11-01,249085
2022-11-02,228822
2022-11-03,214515
2022-11-04,378270
2022-11-05,205367
2022-11-06,269371
2022-11-07,335002
2022-11-08,217516
2022-11-09,264151
2022-11-10,220723
2022-11-11,194003
2022-11-12,228829
2022-11-13,170412
2022-11-14,201695
2022-11-15,207012
2022-11-16,356578
2022-11-17,214155
2022-11-18,161099
2022-11-19,253465
2022-11-20,179826
2022-11-21,227040
2022-11-22,186977
2022-11-23,313748
2022-11-24,120605
2022-11-25,159356
2022-11-26,271460
2022-11-27,244444
2022-11-28,253872
2022-11-29,156048
2022-11-30,300893
2022-12-01,253284
2022-12-02,220021
2022-12-03,238559
2022-12-04,198278
2022-12-05,206751
2022-12-06,249270
2022-12-07,185418
2022-12-08,211150
2022-12-09,206001
2022-12-10,169284
2022-12-11,364177
2022-12-12,191357
2022-12-13,214157
2022-12-14,129093
2022-12-15,299243
2022-12-16,163093
2022-12-17,223949
2022-12-18,296707
2022-12-19,235704
2022-12-20,259048
2022-12-21,224769
2022-12-22,213730
2022-12-23,199707
2022-12-24,148536
2022-12-25,113852
2022-12-26,183518
2022-12-27,178413
2022-12-28,194127
2022-12-29,211814
2022-12-30,153527
2022-12-31,254088
2023-01-01,181007
2023-01-02,203874
2023-01-03,109864
2023-01-04,235856
2023-01-05,293097
2023-01-06,273438
2023-01-07,454713
2023-01-08,283373
2023-01-09,224754
2023-01-10,428102
2023-01-11,211456
2023-01-12,262823
2023-01-13,175484
2023-01-14,258143
2023-01-15,333701
2023-01-16,256856
2023-01-17,168009
2023-01-18,132811
2023-01-19,220864
2023-01-20,124463
2023-01-21,343598
2023-01-22,286905
2023-01-23,253887
2023-01-24,351881
2023-01-25,151934
2023-01-26,173142
2023-01-27,401700
2023-01-28,328448
2023-01-29,263157
2023-01-30,262305
2023-01-31,204013
2023-02-01,195287
2023-02-02,154941
2023-02-03,213086
2023-02-04,277937
2023-02-05,172197
2023-02-06,296261
2023-02-07,264993
2023-02-08,212725
2023-02-09,233116
2023-02-10,188221
2023-02-11,301031
2023-02-12,191034
2023-02-13,174037
2023-02-14,255790
2023-02-15,254019
2023-02-16,283365
2023-02-17,409087
2023-02-18,270803
2023-02-19,228869
2023-02-20,239100
2023-02-21,284869
2023-02-22,225996
2023-02-23,230290
2023-02-24,180073
2023-02-25,144391
2023-02-26,193935
2023-02-27,273286
2023-02-28,157395
2023-03-01,208446
2023-03-02,294703
2023-03-03,213914
2023-03-04,242579
2023-03-05,231144
2023-03-06,214974
2023-03-07,137566
2023-03-08,412835
2023-03-09,220008
2023-03-10,228901
2023-03-11,219073
2023-03-12,276462
2023-03-13,393896
2023-03-14,290127
2023-03-15,214313
2023-03-16,223139
2023-03-17,270635
2023-03-18,255493
2023-03-19,174437
2023-03-20,357257
2023-03-21,217133
2023-03-22,554681
2023-03-23,421062
2023-03-24,310583
2023-03-25,201293
2023-03-26,219891
2023-03-27,376427
2023-03-28,333961
2023-03-29,396670
2023-03-30,217028
2023-03-31,183737
2023-04-01,297447
2023-04-02,219813
2023-04-03,229829
2023-04-04,226948
2023-04-05,256645
2023-04-06,254107
2023-04-07,228876
2023-04-08,254559
2023-04-09,200787
2023-04-10,319488
2023-04-11,279773
2023-04-12,262403
2023-04-13,216062
2023-04-14,237482
2023-04-15,333341
2023-04-16,302462
2023-04-17,241824
2023-04-18,230295
2023-04-19,217704
2023-04-20,320509
2023-04-21,219157
2023-04-22,184009
2023-04-23,380614
2023-04-24,213270
2023-04-25,308461
2023-04-26,369305
2023-04-27,197786
2023-04-28,177350
2023-04-29,119738
2023-04-30,121265
2023-05-01,179835
2023-05-02,159974
2023-05-03,112895
2023-05-04,139613
2023-05-05,130088
2023-05-06,184975
2023-05-07,132766
2023-05-08,202065
2023-05-09,160234
2023-05-10,211633
2023-05-11,175389
2023-05-12,135727
2023-05-13,150446
2023-05-14,143999
2023-05-15,202095
2023-05-16,268912
2023-05-17,166267
2023-05-18,197706
2023-05-19,267830
2023-05-20,209650
2023-05-21,139265
2023-05-22,176766
2023-05-23,200155
2023-05-24,157120
2023-05-25,152976
2023-05-26,230142
2023-05-27,116190
