date,uranium sell
2020-08-25,66333
2020-08-26,91103
2020-08-27,108124
2020-08-28,96973
2020-08-29,63878
2020-08-30,66824
2020-08-31,86387
2020-09-01,81136
2020-09-02,139183
2020-09-03,124262
2020-09-04,129479
2020-09-05,157476
2020-09-06,102943
2020-09-07,134956
2020-09-08,73661
2020-09-09,132648
2020-09-10,81744
2020-09-11,101389
2020-09-12,86690
2020-09-13,172988
2020-09-14,143112
2020-09-15,163842
2020-09-16,177512
2020-09-17,164140
2020-09-18,85922
2020-09-19,114925
2020-09-20,110518
2020-09-21,181713
2020-09-22,158030
2020-09-23,165210
2020-09-24,114031
2020-09-25,87922
2020-09-26,135172
2020-09-27,178214
2020-09-28,90741
2020-09-29,78929
2020-09-30,221221
2020-10-01,122483
2020-10-02,93267
2020-10-03,132052
2020-10-04,152598
2020-10-05,141939
2020-10-06,74423
2020-10-07,104589
2020-10-08,159910
2020-10-09,224388
2020-10-10,199311
2020-10-11,190420
2020-10-12,95202
2020-10-13,74645
2020-10-14,173606
2020-10-15,154958
2020-10-16,140490
2020-10-17,95217
2020-10-18,156905
2020-10-19,116602
2020-10-20,150348
2020-10-21,116072
2020-10-22,102840
2020-10-23,97789
2020-10-24,140687
2020-10-25,150184
2020-10-26,291496
2020-10-27,143045
2020-10-28,232372
2020-10-29,161144
2020-10-30,194827
2020-10-31,96203
2020-11-01,68236
2020-11-02,82420
2020-11-03,31301
2020-11-04,48568
2020-11-05,72479
2020-11-06,49012
2020-11-07,80858
2020-11-08,54726
2020-11-09,45213
2020-11-10,88378
2020-11-11,58171
2020-11-12,49632
2020-11-13,57723
2020-11-14,63479
2020-11-15,65085
2020-11-16,57752
2020-11-17,98426
2020-11-18,282275
2020-11-19,47280
2020-11-20,137581
2020-11-21,108802
2020-11-22,59218
2020-11-23,93313
2020-11-24,67941
2020-11-25,65114
2020-11-26,62401
2020-11-27,95237
2020-11-28,57889
2020-11-29,60586
2020-11-30,128710
2020-12-01,101844
2020-12-02,141903
2020-12-03,90393
2020-12-04,73500
2020-12-05,63527
2020-12-06,53000
2020-12-07,154688
2020-12-08,101924
2020-12-09,153622
2020-12-10,61193
2020-12-11,66093
2020-12-12,94724
2020-12-13,133760
2020-12-14,118151
2020-12-15,190774
2020-12-16,533389
2020-12-17,125249
2020-12-18,335777
2020-12-19,222418
2020-12-20,106570
2020-12-21,84048
2020-12-22,253847
2020-12-23,69884
2020-12-24,199436
2020-12-25,65903
2020-12-26,150491
2020-12-27,201435
2020-12-28,91618
2020-12-29,62399
2020-12-30,57201
2020-12-31,107612
2021-01-01,152542
2021-01-02,78845
2021-01-03,151566
2021-01-04,146577
2021-01-05,89604
2021-01-06,138422
2021-01-07,111252
2021-01-08,108761
2021-01-09,114249
2021-01-10,153869
2021-01-11,169490
2021-01-12,119001
2021-01-13,192013
2021-01-14,88892
2021-01-15,224081
2021-01-16,207314
2021-01-17,137993
2021-01-18,126412
2021-01-19,184992
2021-01-20,138523
2021-01-21,156846
2021-01-22,242170
2021-01-23,143019
2021-01-24,122730
2021-01-25,130876
2021-01-26,207492
2021-01-27,158499
2021-01-28,106024
2021-01-29,241789
2021-01-30,87976
2021-01-31,139801
2021-02-01,347536
2021-02-02,108254
2021-02-03,152925
2021-02-04,192837
2021-02-05,187264
2021-02-06,97483
2021-02-07,132457
2021-02-08,369414
2021-02-09,182924
2021-02-10,172770
2021-02-11,89829
2021-02-12,131672
2021-02-13,80857
2021-02-14,107928
2021-02-15,137743
2021-02-16,108985
2021-02-17,116869
2021-02-18,123129
2021-02-19,201522
2021-02-20,99111
2021-02-21,158244
2021-02-22,205371
2021-02-23,185610
2021-02-24,123052
2021-02-25,305812
2021-02-26,118573
2021-02-27,155025
2021-02-28,105255
2021-03-01,149719
2021-03-02,160247
2021-03-03,148436
2021-03-04,96865
2021-03-05,106702
2021-03-06,192319
2021-03-07,269847
2021-03-08,134939
2021-03-09,286796
2021-03-10,138667
2021-03-11,92264
2021-03-12,147602
2021-03-13,134746
2021-03-14,135396
2021-03-15,195548
2021-03-16,143555
2021-03-17,191555
2021-03-18,123232
2021-03-19,198636
2021-03-20,119136
2021-03-21,131560
2021-03-22,119962
2021-03-23,164151
2021-03-24,102335
2021-03-25,118316
2021-03-26,181126
2021-03-27,106310
2021-03-28,154267
2021-03-29,113325
2021-03-30,80384
2021-03-31,100316
2021-04-01,182211
2021-04-02,196875
2021-04-03,136940
2021-04-04,260237
2021-04-05,127025
2021-04-06,145274
2021-04-07,223059
2021-04-08,112521
2021-04-09,122439
2021-04-10,160628
2021-04-11,159497
2021-04-12,157689
2021-04-13,129733
2021-04-14,148443
2021-04-15,274062
2021-04-16,105266
2021-04-17,77661
2021-04-18,141564
2021-04-19,113772
2021-04-20,197907
2021-04-21,133677
2021-04-22,93741
2021-04-23,91825
2021-04-24,128754
2021-04-25,107647
2021-04-26,195544
2021-04-27,123238
2021-04-28,117681
2021-04-29,115349
2021-04-30,166603
2021-05-01,212751
2021-05-02,165524
2021-05-03,147650
2021-05-04,93619
2021-05-05,138465
2021-05-06,105910
2021-05-07,81178
2021-05-08,101595
2021-05-09,73835
2021-05-10,118086
2021-05-11,95179
2021-05-12,143251
2021-05-13,116328
2021-05-14,141235
2021-05-15,104903
2021-05-16,114878
2021-05-17,201732
2021-05-18,85221
2021-05-19,144656
2021-05-20,111620
2021-05-21,155391
2021-05-22,166704
2021-05-23,206615
2021-05-24,136243
2021-05-25,111757
2021-05-26,125595
2021-05-27,101383
2021-05-28,119831
2021-05-29,134633
2021-05-30,101010
2021-05-31,98686
2021-06-01,140489
2021-06-02,120539
2021-06-03,106684
2021-06-04,141253
2021-06-05,93477
2021-06-06,91853
2021-06-07,132000
2021-06-08,89836
2021-06-09,126584
2021-06-10,128968
2021-06-11,93965
2021-06-12,60923
2021-06-13,140243
2021-06-14,122167
2021-06-15,125778
2021-06-16,171879
2021-06-17,159160
2021-06-18,112396
2021-06-19,87842
2021-06-20,139094
2021-06-21,163402
2021-06-22,192271
2021-06-23,145374
2021-06-24,137829
2021-06-25,108369
2021-06-26,227165
2021-06-27,151527
2021-06-28,113230
2021-06-29,150788
2021-06-30,118098
2021-07-01,139548
2021-07-02,140477
2021-07-03,103191
2021-07-04,121725
2021-07-05,119833
2021-07-06,107628
2021-07-07,165520
2021-07-08,197917
2021-07-09,253515
2021-07-10,285312
2021-07-11,151028
2021-07-12,208087
2021-07-13,118757
2021-07-14,100284
2021-07-15,119015
2021-07-16,134036
2021-07-17,106899
2021-07-18,147063
2021-07-19,140923
2021-07-20,109066
2021-07-21,159158
2021-07-22,181978
2021-07-23,141758
2021-07-24,165495
2021-07-25,189666
2021-07-26,318504
2021-07-27,160519
2021-07-28,157923
2021-07-29,169128
2021-07-30,138195
2021-07-31,227427
2021-08-01,179593
2021-08-02,218619
2021-08-03,223017
2021-08-04,152354
2021-08-05,199163
2021-08-06,137140
2021-08-07,187979
2021-08-08,179527
2021-08-09,204456
2021-08-10,263371
2021-08-11,170721
2021-08-12,201839
2021-08-13,124002
2021-08-14,173499
2021-08-15,271363
2021-08-16,194999
2021-08-17,228519
2021-08-18,169644
2021-08-19,140566
2021-08-20,167613
2021-08-21,180724
2021-08-22,164261
2021-08-23,109506
2021-08-24,145183
2021-08-25,161607
2021-08-26,85103
2021-08-27,88054
2021-08-28,91308
2021-08-29,196079
2021-08-30,134087
2021-08-31,157973
2021-09-01,158044
2021-09-02,137027
2021-09-03,173166
2021-09-04,121872
2021-09-05,158874
2021-09-06,118319
2021-09-07,116131
2021-09-08,157918
2021-09-09,166155
2021-09-10,79193
2021-09-11,91690
2021-09-12,148131
2021-09-13,148077
2021-09-14,160128
2021-09-15,117889
2021-09-16,105693
2021-09-17,128851
2021-09-18,142537
2021-09-19,116835
2021-09-20,145022
2021-09-21,140241
2021-09-22,157339
2021-09-23,115112
2021-09-24,120899
2021-09-25,183432
2021-09-26,138413
2021-09-27,149747
2021-09-28,167313
2021-09-29,110547
2021-09-30,148427
2021-10-01,144846
2021-10-02,134752
2021-10-03,169433
2021-10-04,199212
2021-10-05,140875
2021-10-06,167788
2021-10-07,126968
2021-10-08,123814
2021-10-09,145496
2021-10-10,154416
2021-10-11,178012
2021-10-12,154606
2021-10-13,137549
2021-10-14,133192
2021-10-15,115616
2021-10-16,130339
2021-10-17,156375
2021-10-18,179366
2021-10-19,150073
2021-10-20,161295
2021-10-21,100290
2021-10-22,140718
2021-10-23,184891
2021-10-24,286650
2021-10-25,157576
2021-10-26,185805
2021-10-27,152257
2021-10-28,230583
2021-10-29,177957
2021-10-30,167949
2021-10-31,195842
2021-11-01,226331
2021-11-02,254844
2021-11-03,192112
2021-11-04,237770
2021-11-05,162965
2021-11-06,218035
2021-11-07,154933
2021-11-08,171251
2021-11-09,132515
2021-11-10,174786
2021-11-11,194736
2021-11-12,170137
2021-11-13,114662
2021-11-14,225710
2021-11-15,173364
2021-11-16,143243
2021-11-17,185816
2021-11-18,142981
2021-11-19,119546
2021-11-20,144495
2021-11-21,228238
2021-11-22,194951
2021-11-23,149120
2021-11-24,145954
2021-11-25,239220
2021-11-26,164538
2021-11-27,219831
2021-11-28,191274
2021-11-29,298354
2021-11-30,230239
2021-12-01,217302
2021-12-02,170940
2021-12-03,204065
2021-12-04,188673
2021-12-05,208111
2021-12-06,285725
2021-12-07,222661
2021-12-08,301564
2021-12-09,281707
2021-12-10,198029
2021-12-11,142257
2021-12-12,178366
2021-12-13,91260
2021-12-14,108639
2021-12-15,120300
2021-12-16,111389
2021-12-17,119418
2021-12-18,114167
2021-12-19,96536
2021-12-20,97487
2021-12-21,71315
2021-12-22,118640
2021-12-23,90776
2021-12-24,131261
2021-12-25,108316
2021-12-26,92505
2021-12-27,160748
2021-12-28,157035
2021-12-29,205943
2021-12-30,153189
2021-12-31,164803
2022-01-01,165053
2022-01-02,232314
2022-01-03,127494
2022-01-04,188742
2022-01-05,159566
2022-01-06,135971
2022-01-07,158262
2022-01-08,147372
2022-01-09,214076
2022-01-10,245827
2022-01-11,139700
2022-01-12,150725
2022-01-13,161361
2022-01-14,189198
2022-01-15,158737
2022-01-16,192667
2022-01-17,168118
2022-01-18,150986
2022-01-19,181997
2022-01-20,342547
2022-01-21,273161
2022-01-22,130196
2022-01-23,177093
2022-01-24,164488
2022-01-25,145493
2022-01-26,82864
2022-01-27,133091
2022-01-28,118307
2022-01-29,128281
2022-01-30,129495
2022-01-31,165683
2022-02-01,190708
2022-02-02,184288
2022-02-03,130824
2022-02-04,174595
2022-02-05,144417
2022-02-06,212783
2022-02-07,179983
2022-02-08,108463
2022-02-09,118803
2022-02-10,154030
2022-02-11,193932
2022-02-12,171639
2022-02-13,125353
2022-02-14,160750
2022-02-15,196377
2022-02-16,234677
2022-02-17,361166
2022-02-18,247069
2022-02-19,236938
2022-02-20,222564
2022-02-21,188556
2022-02-22,181489
2022-02-23,245316
2022-02-24,142579
2022-02-25,153807
2022-02-26,162897
2022-02-27,227517
2022-02-28,294039
2022-03-01,215510
2022-03-02,202058
2022-03-03,157247
2022-03-04,416833
2022-03-05,247284
2022-03-06,160997
2022-03-07,158221
2022-03-08,160683
2022-03-09,184935
2022-03-10,174192
2022-03-11,348085
2022-03-12,210068
2022-03-13,260267
2022-03-14,153203
2022-03-15,164976
2022-03-16,190279
2022-03-17,262783
2022-03-18,278698
2022-03-19,317447
2022-03-20,180267
2022-03-21,175421
2022-03-22,209410
2022-03-23,162988
2022-03-24,258428
2022-03-25,174195
2022-03-26,216641
2022-03-27,161329
2022-03-28,216420
2022-03-29,114966
2022-03-30,222338
2022-03-31,170873
2022-04-01,337321
2022-04-02,185921
2022-04-03,198763
2022-04-04,239109
2022-04-05,186357
2022-04-06,154356
2022-04-07,220599
2022-04-08,265053
2022-04-09,214434
2022-04-10,214859
2022-04-11,189602
2022-04-12,174185
2022-04-13,274566
2022-04-14,308388
2022-04-15,173016
2022-04-16,247531
2022-04-17,220927
2022-04-18,231347
2022-04-19,253544
2022-04-20,164675
2022-04-21,183213
2022-04-22,197555
2022-04-23,196172
2022-04-24,158021
2022-04-25,255129
2022-04-26,126794
2022-04-27,186120
2022-04-28,271766
2022-04-29,163010
2022-04-30,207730
2022-05-01,455884
2022-05-02,183143
2022-05-03,183720
2022-05-04,151926
2022-05-05,314044
2022-05-06,238373
2022-05-07,174738
2022-05-08,233478
2022-05-09,222133
2022-05-10,265892
2022-05-11,246608
2022-05-12,273441
2022-05-13,218597
2022-05-14,217958
2022-05-15,164808
2022-05-16,174826
2022-05-17,392279
2022-05-18,331843
2022-05-19,223780
2022-05-20,311088
2022-05-21,177046
2022-05-22,112651
2022-05-23,235837
2022-05-24,210561
2022-05-25,165734
2022-05-26,150868
2022-05-27,136111
2022-05-28,146906
2022-05-29,286181
2022-05-30,249854
2022-05-31,218474
2022-06-01,198539
2022-06-02,207003
2022-06-03,170466
2022-06-04,201408
2022-06-05,250892
2022-06-06,135638
2022-06-07,170663
2022-06-08,148374
2022-06-09,414135
2022-06-10,196934
2022-06-11,252135
2022-06-12,196434
2022-06-13,323548
2022-06-14,201409
2022-06-15,226949
2022-06-16,281645
2022-06-17,220262
2022-06-18,204086
2022-06-19,492692
2022-06-20,161398
2022-06-21,314089
2022-06-22,210251
2022-06-23,168615
2022-06-24,189369
2022-06-25,159590
2022-06-26,213229
2022-06-27,342287
2022-06-28,401744
2022-06-29,222957
2022-06-30,155602
2022-07-01,193903
2022-07-02,136197
2022-07-03,174180
2022-07-04,133561
2022-07-05,109808
2022-07-06,124600
2022-07-07,116622
2022-07-08,177040
2022-07-09,173840
2022-07-10,252838
2022-07-11,157694
2022-07-12,164292
2022-07-13,176813
2022-07-14,152849
2022-07-15,280263
2022-07-16,118020
2022-07-17,219568
2022-07-18,136599
2022-07-19,130089
2022-07-20,139775
2022-07-21,95519
2022-07-22,142777
2022-07-23,147324
2022-07-24,224033
2022-07-25,398623
2022-07-26,406526
2022-07-27,281635
2022-07-28,217829
2022-07-29,272651
2022-07-30,182507
2022-07-31,218982
2022-08-01,678531
2022-08-02,313802
2022-08-03,367224
2022-08-04,362876
2022-08-05,406309
2022-08-06,287664
2022-08-07,554642
2022-08-08,330490
2022-08-09,240592
2022-08-10,225855
2022-08-11,218790
2022-08-12,314330
2022-08-13,204627
2022-08-14,261263
2022-08-15,263666
2022-08-16,288561
2022-08-17,301030
2022-08-18,187034
2022-08-19,279619
2022-08-20,243512
2022-08-21,202102
2022-08-22,287386
2022-08-23,265299
2022-08-24,265212
2022-08-25,315821
2022-08-26,436708
2022-08-27,369434
2022-08-28,250194
2022-08-29,324414
2022-08-30,161007
2022-08-31,215853
2022-09-01,183051
2022-09-02,336062
2022-09-03,339862
2022-09-04,285159
2022-09-05,259852
2022-09-06,285758
2022-09-07,334267
2022-09-08,193759
2022-09-09,261390
2022-09-10,233281
2022-09-11,337254
2022-09-12,376016
2022-09-13,221553
2022-09-14,170162
2022-09-15,130030
2022-09-16,209532
2022-09-17,343065
2022-09-18,283587
2022-09-19,273375
2022-09-20,295470
2022-09-21,304855
2022-09-22,338219
2022-09-23,263738
2022-09-24,293783
2022-09-25,164712
2022-09-26,235734
2022-09-27,431406
2022-09-28,232122
2022-09-29,272500
2022-09-30,203158
2022-10-01,246781
2022-10-02,347044
2022-10-03,283211
2022-10-04,314147
2022-10-05,267723
2022-10-06,291664
2022-10-07,279975
2022-10-08,272132
2022-10-09,252387
2022-10-10,347272
2022-10-11,243888
2022-10-12,213938
2022-10-13,276045
2022-10-14,309876
2022-10-15,233133
2022-10-16,304299
2022-10-17,341525
2022-10-18,305153
2022-10-19,345420
2022-10-20,292320
2022-10-21,170221
2022-10-22,486095
2022-10-23,238837
2022-10-24,352654
2022-10-25,326790
2022-10-26,299547
2022-10-27,394180
2022-10-28,152947
2022-10-29,271768
2022-10-30,247030
2022-10-31,330170
2022-11-01,250465
2022-11-02,343519
2022-11-03,279823
2022-11-04,255213
2022-11-05,252698
2022-11-06,364232
2022-11-07,237306
2022-11-08,208037
2022-11-09,278346
2022-11-10,190649
2022-11-11,676483
2022-11-12,294241
2022-11-13,145472
2022-11-14,145379
2022-11-15,220618
2022-11-16,324909
2022-11-17,224558
2022-11-18,214692
2022-11-19,216970
2022-11-20,140920
2022-11-21,197965
2022-11-22,247713
2022-11-23,139093
2022-11-24,217282
2022-11-25,157935
2022-11-26,238871
2022-11-27,227114
2022-11-28,232696
2022-11-29,237576
2022-11-30,203976
2022-12-01,190901
2022-12-02,228074
2022-12-03,157794
2022-12-04,351219
2022-12-05,171842
2022-12-06,223991
2022-12-07,179823
2022-12-08,214645
2022-12-09,218214
2022-12-10,245602
2022-12-11,184382
2022-12-12,187612
2022-12-13,190111
2022-12-14,213172
2022-12-15,208332
2022-12-16,203815
2022-12-17,175960
2022-12-18,183478
2022-12-19,213899
2022-12-20,163179
2022-12-21,275925
2022-12-22,192120
2022-12-23,184359
2022-12-24,165182
2022-12-25,181967
2022-12-26,194589
2022-12-27,210200
2022-12-28,307785
2022-12-29,196246
2022-12-30,202687
2022-12-31,106027
2023-01-01,227148
2023-01-02,306415
2023-01-03,243380
2023-01-04,287060
2023-01-05,221275
2023-01-06,285363
2023-01-07,380102
2023-01-08,274151
2023-01-09,249635
2023-01-10,232659
2023-01-11,324616
2023-01-12,174730
2023-01-13,195364
2023-01-14,143050
2023-01-15,251622
2023-01-16,329681
2023-01-17,208114
2023-01-18,189615
2023-01-19,253536
2023-01-20,156686
2023-01-21,241238
2023-01-22,236253
2023-01-23,339398
2023-01-24,184979
2023-01-25,226243
2023-01-26,294603
2023-01-27,316237
2023-01-28,374590
2023-01-29,318504
2023-01-30,327813
2023-01-31,589087
2023-02-01,209812
2023-02-02,170724
2023-02-03,292920
2023-02-04,324964
2023-02-05,291096
